layer1_hypothesisfamily,layer2_treatmentcontrast,layer3_specificoutcome,p.adj,est,se
platform,overall,overall,6.57576136433597e-11,,
platform,pro 31 - pro 22,overall,0.188053944590248,,
platform,pro 31 - pro 22,pro_fraction_chosen,,0.0488053963343564,0.0180593965675908
platform,pro 31 - pro 22,positive_interactions,,0.034261605139137,0.0735723449319127
platform,pro 31 - pro 22,platform_duration,,9.79159941325406,95.1576124804711
platform,anti 31 - anti 22,overall,1.48523044378306e-07,,
platform,anti 31 - anti 22,pro_fraction_chosen,2.66092444828267e-08,-0.12420275192287,0.020693483883004
platform,anti 31 - anti 22,positive_interactions,1,0.0197254304310966,0.0707108576337186
platform,anti 31 - anti 22,platform_duration,1,-42.2851861228287,77.8619143855089
platform,neutral pro 31 - neutral pro 22,overall,0.000161486139329646,,
platform,neutral pro 31 - neutral pro 22,pro_fraction_chosen,0.00298236888437145,0.0964657686868624,0.0276668478631448
platform,neutral pro 31 - neutral pro 22,positive_interactions,1,-0.029255558231429,0.110017098792735
platform,neutral pro 31 - neutral pro 22,platform_duration,0.00298236888437145,438.077288684057,125.079890830523
platform,neutral anti 31 - neutral anti 22,overall,0.144602606058245,,
platform,neutral anti 31 - neutral anti 22,pro_fraction_chosen,,-0.0770487517935627,0.0306521575756038
platform,neutral anti 31 - neutral anti 22,positive_interactions,,0.0202172346353753,0.0966170731658387
platform,neutral anti 31 - neutral anti 22,platform_duration,,112.677145515381,127.155442351257
platform,neutral anti 31 - neutral pro 31,overall,3.28788068216799e-11,,
platform,neutral anti 31 - neutral pro 31,pro_fraction_chosen,1.43600637011891e-09,-0.209936537205667,0.0324683521559932
platform,neutral anti 31 - neutral pro 31,positive_interactions,1,-0.0565440182663503,0.101365090242268
platform,neutral anti 31 - neutral pro 31,platform_duration,1,-191.811665180197,147.490560504395
platform,neutral anti 22 - neutral pro 22,overall,0.537040317748026,,
platform,neutral anti 22 - neutral pro 22,pro_fraction_chosen,,-0.0364220167252422,0.0255293428718148
platform,neutral anti 22 - neutral pro 22,positive_interactions,,-0.106016811133155,0.107041924730916
platform,neutral anti 22 - neutral pro 22,platform_duration,,133.58847798848,99.7899819397394
mwpolicy,overall,overall,0.000355836990873273,,
mwpolicy,pro 31 - pro 22,overall,0.730311049962829,,
mwpolicy,pro 31 - pro 22,mw_index_w2,,0.00534480878836235,0.00520196856361861
mwpolicy,anti 31 - anti 22,overall,0.00922130221337465,,
mwpolicy,anti 31 - anti 22,mw_index_w2,0.006938826418696,0.0311866979750204,0.00994669239773392
mwpolicy,neutral pro 31 - neutral pro 22,overall,1,,
mwpolicy,neutral pro 31 - neutral pro 22,mw_index_w2,,0.00362725083561061,0.0135843048281775
mwpolicy,neutral anti 31 - neutral anti 22,overall,0.00922130221337465,,
mwpolicy,neutral anti 31 - neutral anti 22,mw_index_w2,0.00922130221337465,0.0464104368601747,0.0152131069558004
mwpolicy,neutral anti 31 - neutral pro 31,overall,0.000355836990873273,,
mwpolicy,neutral anti 31 - neutral pro 31,mw_index_w2,0.000118612330291091,0.0622744785068866,0.0148866632862158
mwpolicy,neutral anti 22 - neutral pro 22,overall,0.48700700793203,,
mwpolicy,neutral anti 22 - neutral pro 22,mw_index_w2,,0.0194912924823225,0.0139458572894512
media,overall,overall,0.984925249864973,,
media,pro 31 - pro 22,overall,,,
media,pro 31 - pro 22,trust_majornews_w2,,0.0113357217182982,0.0115425585490063
media,pro 31 - pro 22,trust_youtube_w2,,-0.00459425178483763,0.0146992749927821
media,pro 31 - pro 22,fabricate_majornews_w2,,-0.00113045510950527,0.0113536295362633
media,pro 31 - pro 22,fabricate_youtube_w2,,0.0014212876905666,0.0127799959075536
media,anti 31 - anti 22,overall,,,
media,anti 31 - anti 22,trust_majornews_w2,,-0.00144638078808002,0.0149279383114474
media,anti 31 - anti 22,trust_youtube_w2,,-0.013030940889141,0.015711940483301
media,anti 31 - anti 22,fabricate_majornews_w2,,-0.000336431621672406,0.0133598028314273
media,anti 31 - anti 22,fabricate_youtube_w2,,-0.00526507022627709,0.0129858497353596
media,neutral pro 31 - neutral pro 22,overall,,,
media,neutral pro 31 - neutral pro 22,trust_majornews_w2,,0.00575420049649789,0.019499065711265
media,neutral pro 31 - neutral pro 22,trust_youtube_w2,,0.00939471121087526,0.0219453820397087
media,neutral pro 31 - neutral pro 22,fabricate_majornews_w2,,0.00126351894779153,0.0192180754508341
media,neutral pro 31 - neutral pro 22,fabricate_youtube_w2,,0.00827197104665511,0.0180207952605422
media,neutral anti 31 - neutral anti 22,overall,,,
media,neutral anti 31 - neutral anti 22,trust_majornews_w2,,-0.0223611906297683,0.0203772672119522
media,neutral anti 31 - neutral anti 22,trust_youtube_w2,,-0.0187641033661853,0.0226099457941196
media,neutral anti 31 - neutral anti 22,fabricate_majornews_w2,,-0.0131514539782697,0.0181604256348352
media,neutral anti 31 - neutral anti 22,fabricate_youtube_w2,,-0.0280721012236121,0.0187724544704106
media,neutral anti 31 - neutral pro 31,overall,,,
media,neutral anti 31 - neutral pro 31,trust_majornews_w2,,-0.0237929573501925,0.0190175187569196
media,neutral anti 31 - neutral pro 31,trust_youtube_w2,,-0.0083598911646684,0.0227894320352483
media,neutral anti 31 - neutral pro 31,fabricate_majornews_w2,,-0.0120580294140189,0.0186868195117949
media,neutral anti 31 - neutral pro 31,fabricate_youtube_w2,,-0.0240605665030453,0.017614491924459
media,neutral anti 22 - neutral pro 22,overall,,,
media,neutral anti 22 - neutral pro 22,trust_majornews_w2,,0.00432243377607366,0.0208762989692143
media,neutral anti 22 - neutral pro 22,trust_youtube_w2,,0.0197989234123921,0.0217919088657201
media,neutral anti 22 - neutral pro 22,fabricate_majornews_w2,,0.0023569435120423,0.0186996111269596
media,neutral anti 22 - neutral pro 22,fabricate_youtube_w2,,0.0122835057672219,0.0192161638577757
affpol,overall,overall,0.270460211834503,,
affpol,pro 31 - pro 22,overall,,,
affpol,pro 31 - pro 22,affpol_ft_w2,,1.08484652802115,1.14547718160003
affpol,pro 31 - pro 22,affpol_smart_w2,,-0.00600866111490733,0.0152609353641577
affpol,pro 31 - pro 22,affpol_comfort_w2,,-0.00578252695726794,0.0153295861129536
affpol,anti 31 - anti 22,overall,,,
affpol,anti 31 - anti 22,affpol_ft_w2,,-1.72111648671867,1.36968902882843
affpol,anti 31 - anti 22,affpol_smart_w2,,0.0362998854269058,0.0169860706806036
affpol,anti 31 - anti 22,affpol_comfort_w2,,0.0243437655203206,0.0167280830435451
affpol,neutral pro 31 - neutral pro 22,overall,,,
affpol,neutral pro 31 - neutral pro 22,affpol_ft_w2,,0.997882429034227,2.06583855892638
affpol,neutral pro 31 - neutral pro 22,affpol_smart_w2,,-0.0031829535217392,0.0256955380285991
affpol,neutral pro 31 - neutral pro 22,affpol_comfort_w2,,-0.0124562167759594,0.0262968355482829
affpol,neutral anti 31 - neutral anti 22,overall,,,
affpol,neutral anti 31 - neutral anti 22,affpol_ft_w2,,-0.246852076557282,1.84580095874436
affpol,neutral anti 31 - neutral anti 22,affpol_smart_w2,,-0.0408542926168441,0.0259773679218709
affpol,neutral anti 31 - neutral anti 22,affpol_comfort_w2,,-0.0234499318619107,0.0263523594145702
affpol,neutral anti 31 - neutral pro 31,overall,,,
affpol,neutral anti 31 - neutral pro 31,affpol_ft_w2,,-0.848194166613446,1.89882566964022
affpol,neutral anti 31 - neutral pro 31,affpol_smart_w2,,-0.029219406650629,0.0245813940518876
affpol,neutral anti 31 - neutral pro 31,affpol_comfort_w2,,-0.0178343286609394,0.0274999296968164
affpol,neutral anti 22 - neutral pro 22,overall,,,
affpol,neutral anti 22 - neutral pro 22,affpol_ft_w2,,0.396540338978063,2.01096833802008
affpol,neutral anti 22 - neutral pro 22,affpol_smart_w2,,0.00845193244447595,0.0269724421644301
affpol,neutral anti 22 - neutral pro 22,affpol_comfort_w2,,-0.00684061357498811,0.0249362603465165
